Municipio,Codigo,Gentilico,Prefeito_2021,Area,Populacao,DensidadeDemografica,Escolarizacao,IDHM,MortalidadeInfantil,ReceitasRealizadas,DespesasEmpenhadas,PIBpercapita
Iati,2606507,iatiense,ANTONIO JOS&Eacute; DE SOUZA,635.137,19284,28.91,90.5,0.528,14.81,53244.78215,47887.36045,9129.71
Ibimirim,2606606,ibimiriense,JOSE WELLITON DE MELO SIQUEIRA,1906.437,29585,14.14,93.7,0.552,18.14,58332.51098,53998.58448,9825.90
Ibirajuba,2606705,ibirajubense,MARIA IZALTA SILVA LOPES GAMA,189.596,7773,39.74,96.7,0.580,-,24177.85009,23561.0659,8260.46
Igarassu,2606804,igarassuano,ELCIONE DA SILVA RAMOS PEDROZA BARBOSA,306.879,119690,333.88,97.9,0.665,5.74,243685.05216,211799.59461,22720.23
Iguaracy,2606903,iguaraciense,JOSE TORRES LOPES FILHO,838.132,12265,14.05,98.7,0.598,15.5,31622.61285,28675.70674,7966.45
Inaj&aacute;,2607000,inajaense,MARCELO MACHADO FREIRE,1168.158,24034,16.14,84.2,0.523,30.3,41707.25865,42189.47856,7549.11
Ingazeira,2607109,ingazeirense,LUCIANO TORRES MARTINS,243.586,4537,18.45,98.2,0.608,-,21596.41902,20309.4412,8326.69
Ipojuca,2607208,ipojuquense ou ipojucanos,CELIA AGOSTINHO LINS DE SALES,521.801,99101,152.98,97.3,0.619,6.93,737218.28417,678598.01813,132206.17
Ipubi,2607307,ipubiense,FRANCISCO RUBENS MARIO CHAVES SIQUEIRA,693.914,31515,32.64,95.1,0.550,20.3,67417.40343,62450.21587,10381.45
Itacuruba,2607406,itacurubense,BERNARDO DE MOURA FERRAZ,430.038,5013,10.16,97.5,0.595,-,30151.53931,23072.58623,12604.57
Ita&iacute;ba,2607505,itaibense,MARIA REGINA DA CUNHA,1061.694,26268,24.20,93.3,0.510,13.93,60220.16821,61302.74911,9057.06
Ilha de Itamarac&aacute;,2607604,itamaracaense,MOSAR DE MELO BARBOSA FILHO,66.146,27076,328.17,97.6,0.653,3.02,64403.2288,60174.32625,9679.82
Itamb&eacute;,2607653,itambeense,MARIA DAS GRA&Ccedil;AS GALLINDO CARRAZZONNI,304.006,36495,116.13,94.6,0.575,13.23,70291.93714,66888.41956,12641.41
Itapetim,2607703,itapetinense,ADELMO ALVES DE MOURA,404.850,13492,34.29,97.5,0.592,28.25,39433.05553,36008.45413,8349.62
Itapissuma,2607752,itapissumense,JOS&Eacute; BEZERRA TEN&Oacute;RIO FILHO,73.968,27144,320.19,97.6,0.633,-,101908.23862,93302.77712,69380.68
Itaquitinga,2607802,itaquitinguense,PABLO JOSE DE OLIVEIRA MORAES,162.739,17056,151.72,97.3,0.586,21.65,36663.62523,37666.93663,8220.11
Jaboat&atilde;o dos Guararapes,2607901,jaboat&atilde;oense,ANDERSON FERREIRA RODRIGUES,258.724,711330,2491.82,96.8,0.717,11.59,1323478.88101,1100876.65428,19750.50
Jaqueira,2607950,jaqueirense,RIDETE CELLIBE PELLEGRINO DE MAC&Ecirc;DO OLIVEIRA,87.208,11632,131.88,95.4,0.575,18.63,35866.13472,35130.6287,8487.21
Jata&uacute;ba,2608008,jataubense,C&Aacute;TIA JUNSARA RODRIGUES AQUILINO,714.601,17305,23.53,97.6,0.530,12,41809.36644,38230.7731,7889.50
Jatob&aacute;,2608057,jatobaense,ROG&Eacute;RIO FERREIRA GOMES DA SILVA,277.862,14904,50.25,97.7,0.645,4.72,32461.79465,31402.67428,8857.69
Jo&atilde;o Alfredo,2608107,alfredense,JOS&Eacute; ANTONIO MARTINS DA SILVA,134.147,33570,227.52,97.1,0.576,15.58,66699.02515,63008.48986,9131.36
Joaquim Nabuco,2608206,nabuquense,ANTONIO RAIMUNDO BARRETO NETO,121.901,15999,129.39,95.5,0.554,4.95,43150.35159,36871.26036,8369.19
Jucati,2608255,jucatiense,JOS&Eacute; EDNALDO PEIXOTO DE LIMA,120.604,11545,87.92,98,0.550,10.05,33018.70428,31815.72823,10106.53
Jupi,2608305,jupiense,ANTONIO MARCOS PATRIOTA,104.994,15007,130.53,96.3,0.575,21.66,54385.17689,44696.94667,11465.75
Jurema,2608404,juremense,EDVALDO MARCOS RAMOS FERREIRA,148.254,15483,98.08,96,0.509,14.35,40801.90147,48971.7998,7133.94
Lagoa do Carro,2608453,lagoense do carro,JUDITE MARIA BOTAFOGO SANTANA DA SILVA,69.666,18429,229.77,97.8,0.609,12.93,40620.11942,44392.31249,15816.34
Lagoa de Itaenga,2608503,itaenguense,MARIA DAS GRA&Ccedil;AS DE ARRUDA SILVA,56.131,21490,360.65,98.9,0.602,16.23,45404.32059,48113.14103,15793.28
Lagoa do Ouro,2608602,lagoa-do-ourense,EDSON LOPES CAVALCANTE,198.762,13300,61.04,96.5,0.525,11.63,39831.3521,37977.19886,9179.48
Lagoa dos Gatos,2608701,lagoense,ST&Ecirc;NIO FERNANDES DE ALBUQUERQUE,224.947,16345,70.06,96.5,0.551,20,33537.57979,31806.98877,6895.70
Lagoa Grande,2608750,lagoa-grandense,VILMAR CAPPELLARO,1850.070,26090,12.31,96.3,0.597,7.75,61703.61177,52163.05827,15343.01
Lajedo,2608800,lajedense,ADELMO DUARTE RIBEIRO,189.096,40883,193.70,97.9,0.611,13.8,90652.74929,84314.95585,12133.49
Limoeiro,2608909,limoeirense,ORLANDO JORGE PEREIRA DE ANDRADE LIMA,273.733,56149,202.53,98,0.663,10.77,106698.53232,146092.39064,14315.95
Macaparana,2609006,macaparanense,PAULO BARBOSA DA SILVA,108.049,25565,221.43,97.9,0.609,16.67,53982.43522,55143.29435,11288.56
Machados,2609105,machadense,JUAREZ RODRIGUES FERNANDES,60.036,16549,226.46,82.9,0.578,9.76,35035.57593,33552.6974,11828.36
Manari,2609154,manariense,AUDALIO MARTINS DA SILVA JUNIOR,344.725,22110,47.56,93.4,0.487,14.81,47410.42905,46374.18875,6186.80
Maraial,2609204,maraialense,SERGIO DA SILVA,199.865,11098,61.19,94.1,0.534,8.97,39732.20988,31597.95177,7494.18
Mirandiba,2609303,mirandibense,ROSE CL&Eacute;A MAXIMO DE CARVALHO S&Aacute;,821.676,15548,17.41,95.8,0.591,7.69,36929.46986,35416.67758,10320.84
Moreno,2609402,morenense,EDMILSON CUPERTINO DE ALMEIDA,196.073,63792,289.16,95.8,0.652,15.71,107822.13706,97886.55647,11073.15
Nazar&eacute; da Mata,2609501,nazareno,INACIO MANOEL DO NASCIMENTO,130.572,32673,204.95,96.1,0.662,7.44,54902.21008,57721.77206,16867.83
Olinda,2609600,olindense,LUPERCIO CARLOS DO NASCIMENTO,41.300,393734,9063.58,96.9,0.735,10.46,627292.10974,564477.78381,14713.81
Orob&oacute;,2609709,orobense,SEVERINO LUIZ PEREIRA DE ABREU,138.662,23985,164.99,97.2,0.610,15.09,58679.56725,54181.76825,14820.60
Oroc&oacute;,2609808,orocoense,GEORGE GUEBER CAVALCANTE NERY,554.760,15309,23.76,98,0.610,17.36,41517.08637,37866.03175,12588.22
