Municipio,Codigo,Gentilico,Prefeito_2021,Area,Populacao,DensidadeDemografica,Escolarizacao,IDHM,MortalidadeInfantil,ReceitasRealizadas,DespesasEmpenhadas,PIBpercapita
Abreu e Lima,2600054,abreu-limense,FL&Aacute;VIO VIEIRA GADELHA DE ALBUQUERQUE,126.384,100698,748.29,97.2,0.679,6.66,154773.90211,150392.49413,17756.99
Afogados da Ingazeira,2600104,afogadense,ALESANDRO PALMEIRA DE VASCONCELOS LEITE,377.696,37546,92.90,97.3,0.657,8.53,84524.28825,84199.55326,12464.16
Afr&acirc;nio,2600203,afraniense,RAFAEL ANTONIO CAVALCANTI,1490.594,19981,11.80,98.7,0.588,35.43,48071.21326,46130.64133,8663.84
Agrestina,2600302,agrestinense,JOSU&Eacute; MENDES DA SILVA,200.369,25240,112.58,96.4,0.592,18.46,61063.16654,60315.06588,11341.74
&Aacute;gua Preta,2600401,&aacute;gua-pretense,NOELINO MAGALHAES OLIVEIRA LYRA,533.332,37386,62.05,94,0.553,9.41,71553.7248,66100.20886,6974.69
&Aacute;guas Belas,2600500,&aacute;guas-belense,LUIZ AROLDO REZENDE DE LIMA,885.988,43923,45.41,96.1,0.526,15.63,84026.49512,81990.36581,8337.93
Alagoinha,2600609,alagoinhense,UILAS LEAL DA SILVA,216.452,14798,63.16,96.3,0.599,26.32,37869.57675,34348.50055,9579.05
Alian&ccedil;a,2600708,aliancense,XISTO LOUREN&Ccedil;O DE FREITAS NETO,272.773,38408,137.16,97,0.604,13.46,74882.94228,78786.39428,8626.09
Altinho,2600807,altinense,ORLANDO JOS&Eacute; DA SILVA,450.178,22996,49.18,96.9,0.598,8.1,41122.6787,43489.6886,7690.34
Amaraji,2600906,amarajinense,ALINE DE ANDRADE GOUVEIA,234.956,22910,93.37,96.6,0.580,7.66,49759.73815,49201.102,9839.23
Angelim,2601003,angelinense,MARCIO DOUGLAS CAVALCANTI DUARTE,118.037,11301,86.43,96.4,0.572,13.99,31575.19313,28332.47878,12367.69
Ara&ccedil;oiaba,2601052,ara&ccedil;oiabense,CARLOS JOGLI ALBUQUERQUE TAVARES UCH&Ocirc;A,96.360,20936,188.38,97,0.592,22.01,42647.83708,39742.10425,7289.28
Araripina,2601102,araripinense,JOS&Eacute; RAIMUNDO PIMENTEL DO ESP&Iacute;RITO SANTO,2037.394,85301,40.84,95.2,0.602,15.32,161988.93465,154891.63784,12416.62
Arcoverde,2601201,arcoverdense,MARIA MADALENA SANTOS DE BRITTO,323.369,75295,196.05,97.3,0.667,10.2,147298.35801,140070.54537,14727.75
Barra de Guabiraba,2601300,guabirabense,DIOGO CARLOS DE LIMA SILVA,120.583,14632,111.43,93.7,0.577,20.2,34559.27834,33809.47144,9413.02
Barreiros,2601409,barreirense,CARLOS ARTUR SOARES DE AVELLAR JUNIOR,233.433,42866,174.54,94.6,0.586,15.13,88084.64946,98862.16936,10393.73
Bel&eacute;m de Maria,2601508,belenense,ROLPH EBER CASALE JUNIOR,75.142,12169,153.96,98.5,0.578,6.62,29443.89599,27685.46938,7036.41
Bel&eacute;m do S&atilde;o Francisco,2601607,belenense,GUSTAVO HENRIQUE GRANJA CARIB&Eacute;,1830.797,20730,11.06,97.3,0.642,9.87,51511.47673,53037.46969,13932.20
Belo Jardim,2601706,belo-jardinense,GILVANDRO ESTRELA DE OLIVEIRA,647.696,76930,111.83,97.1,0.629,9.76,178709.72434,157963.60349,25345.75
Bet&acirc;nia,2601805,betaniense,MARIO GOMES FLOR FILHO,1244.074,12811,9.65,93.8,0.559,19.74,33228.17382,30390.38364,7165.16
Bezerros,2601904,bezerrense,MARIA LUCIELLE SILVA LAURENTINO,492.632,60960,119.53,95.9,0.606,7.78,111289.24211,124512.98396,12522.08
Bodoc&oacute;,2602001,bodocense,OTAVIO AUGUSTO TAVARES PEDROSA CAVALCANTE,1621.786,38605,21.75,95.7,0.565,19.23,77842.57636,74404.09274,7587.92
Bom Conselho,2602100,conselhense,JOAO LUCAS DA SILVA CAVALCANTE,792.185,48975,57.44,96.2,0.563,14.56,97387.10765,105775.569,11448.94
Bom Jardim,2602209,bom-jardinense,JO&Atilde;O FRANCISCO DA SILVA NETO,224.120,40038,169.49,97,0.602,13.19,72928.45038,75331.6516,8597.38
Bonito,2602308,bonitense,GUSTAVO ADOLFO NEVES DE ALBUQUERQUE C&Eacute;SAR,390.107,38101,94.96,96.7,0.561,6.72,80127.0062,83316.49115,11990.22
Brej&atilde;o,2602407,brejonense,ELISABETH BARROS DE SANTANA,159.786,8981,55.35,96.3,0.547,11.7,28469.45368,28431.68478,19502.16
Brejinho,2602506,brejinhense,GILSOMAR BENTO DA COSTA,106.275,7489,68.75,98.2,0.574,8.93,25360.88977,21767.43753,8275.55
Brejo da Madre de Deus,2602605,brejense,ROBERTO ABRAHAM ABRAHAMIAN ASFORA,762.346,51696,59.26,95.6,0.562,14.57,93034.245,99285.92713,7950.44
Buenos Aires,2602704,buenairense,JOSE FABIO DE OLIVEIRA,93.187,13224,134.54,97.4,0.593,5.35,31630.67014,28339.49462,8499.32
Bu&iacute;que,2602803,buiquense,ARQUIMEDES GUEDES VALEN&Ccedil;A,1320.871,59448,39.18,94.7,0.527,12.94,104123.27125,100810.38233,7560.24
Cabo de Santo Agostinho,2602902,cabense,CLAYTON DA SILVA MARQUES,445.343,210796,412.33,96.5,0.686,7.11,824731.45857,597762.02822,47924.83
Cabrob&oacute;,2603009,cabroboense,ELIOENAI DIAS SANTOS FILHO,1658.616,34778,18.62,97.6,0.623,3.93,74974.98517,75912.01263,12063.70
Cachoeirinha,2603108,cachoeirinhense,IVALDO DE ALMEIDA,179.262,20618,104.98,95.3,0.579,9.62,45026.0073,37627.88473,10989.94
